estate name,detail link,photo links
22 Bowrington Road,https://www.28hse.com/en/estate/detail/22-bowrington-road-23760,https://i1.28hse.com/2022/09/202209081227455501343_large.jpg
Hamilton Building,https://www.28hse.com/en/estate/detail/hamilton-building-26125,https://i1.28hse.com/2022/09/202209081222006303043_large.jpg
Pao Yip Building,https://www.28hse.com/en/estate/detail/pao-yip-building-8573,https://i1.28hse.com/2022/09/202209081304468761281_large.jpg
Sun King House,https://www.28hse.com/en/estate/detail/sun-king-house-6568,https://i1.28hse.com/2022/09/20220908125206861967_large.jpg
Overseas Trust Bank Building,https://www.28hse.com/en/estate/detail/overseas-trust-bank-building-26455,https://i1.28hse.com/2022/09/202209081224496266248_large.jpg
Pearl House,https://www.28hse.com/en/estate/detail/pearl-house-2130,https://i1.28hse.com/2022/09/202209081214244971434_large.jpg
Manrich Court,https://www.28hse.com/en/estate/detail/manrich-court-839,https://i1.28hse.com/2022/09/202209081303235793465_large.jpg
17 Bonham Road,https://www.28hse.com/en/estate/detail/17-bonham-road-23956,https://i1.28hse.com/2022/09/202209081229044973017_large.jpg
Grand SeaView Heights,https://www.28hse.com/en/estate/detail/grand-seaview-heights-1076,https://i1.28hse.com/2022/09/202209081212253350732_large.jpg
Yen Yuen Mansion,https://www.28hse.com/en/estate/detail/yen-yuen-mansion-5621,https://i1.28hse.com/2022/09/202209081245295800192_large.jpg
On Tai Building,https://www.28hse.com/en/estate/detail/on-tai-building-26421,https://i1.28hse.com/2022/09/202209081224315956440_large.jpg
Lai Bo building,https://www.28hse.com/en/estate/detail/lai-bo-building-4480,https://i1.28hse.com/2022/09/202209081239486283803_large.jpg
Fook Cheong Building,https://www.28hse.com/en/estate/detail/fook-cheong-building-22700,https://i1.28hse.com/2022/09/202209081217354511729_large.jpg
Shing Wan Building,https://www.28hse.com/en/estate/detail/shing-wan-building-7501,https://i1.28hse.com/2022/09/202209081257045785299_large.jpg
Wan Tin Building,https://www.28hse.com/en/estate/detail/wan-tin-building-5792,https://i1.28hse.com/2022/09/202209081246428340008_large.jpg
Tai Shing Building,https://www.28hse.com/en/estate/detail/tai-shing-building-24049,https://i1.28hse.com/2022/09/202209081229438226780_large.jpg
Lung Po House,https://www.28hse.com/en/estate/detail/lung-po-house-23229,https://i1.28hse.com/2022/09/202209081220152745353_large.jpg
Kamly Court,https://www.28hse.com/en/estate/detail/kamly-court-2869,https://i1.28hse.com/2022/09/202209081233564979579_large.jpg
Kwai Fung Building,https://www.28hse.com/en/estate/detail/kwai-fung-building-7671,https://i1.28hse.com/2022/09/202209081258168805247_large.jpg
Wing Loong Building,https://www.28hse.com/en/estate/detail/wing-loong-building-2490,https://i1.28hse.com/2022/09/202209081229574484174_large.jpg
Grand Victoria I,https://www.28hse.com/en/estate/detail/grand-victoria-i-23650,https://i1.28hse.com/2022/09/202209081222191149247_large.jpg
Hung Hum Mansion,https://www.28hse.com/en/estate/detail/hung-hum-mansion-7217,https://i1.28hse.com/2022/09/2022090812551617879_large.jpg
Siu On Court,https://www.28hse.com/en/estate/detail/siu-on-court-4443,https://i1.28hse.com/2022/09/202209081239315145335_large.jpg
Greenview Villas,https://www.28hse.com/en/estate/detail/greenview-villas-25266,https://i1.28hse.com/2022/09/202209081256018873878_large.jpg
Wing Cheung Building,https://www.28hse.com/en/estate/detail/wing-cheung-building-692,https://i1.28hse.com/2022/09/202209081254205349816_large.jpg
Hanley House,https://www.28hse.com/en/estate/detail/hanley-house-2961,https://i1.28hse.com/2022/09/202209081234194587295_large.jpg
Ma On Shan Centre,https://www.28hse.com/en/estate/detail/ma-on-shan-centre-4046,https://i1.28hse.com/2022/09/202209081236266401338_large.jpg
Chuk Yuen (North) Estate,https://www.28hse.com/en/estate/detail/chuk-yuen-north-estate-26217,https://i1.28hse.com/2022/09/202209081222517373730_large.jpg
Ever Rich Mansion,https://www.28hse.com/en/estate/detail/ever-rich-mansion-2387,https://i1.28hse.com/2022/09/202209081223293790229_large.jpg
La Caleta,https://www.28hse.com/en/estate/detail/la-caleta-26776,https://i1.28hse.com/2022/09/202209081227181122067_large.jpg
Cheung Hang Estate,https://www.28hse.com/en/estate/detail/cheung-hang-estate-25295,https://i1.28hse.com/2022/09/202209081256141058012_large.jpg
