Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area,CNAME,CNAME_S,ENAME,REGION
13/9/2021,Tai Hang,Wah Fung Mansion,36,7/F,7,,7/F,2087,灣仔區,湾仔区,WAN CHAI,HK
13/9/2021,Sai Wan Ho,Parker33,5.18,3#/F Room K,3,,K,209,東區,东区,EASTERN,HK
13/9/2021,Aberdeen,Aberdeen Centre,5.98,BLOCK H 2/F Room 1,2,BLOCK H,1,546,南區,南区,SOUTHERN,HK
13/9/2021,Southern District,Residence Bel-Air,26.6,BEL-AIR ON THE PEAK TOWER 9 1#/F Room C,1,BEL-AIR ON THE PEAK TOWER 9,C,1497,南區,南区,SOUTHERN,HK
13/9/2021,Shaukeiwan,Aldrich Garden,7.25,BLOCK 3 1#/F Room C,1,BLOCK 3,C,693,東區,东区,EASTERN,HK
13/9/2021,Quarry Bay,Kornhill,10.5,BLOCK B 5/F Room 15,5,BLOCK B,15,808,東區,东区,EASTERN,HK
13/9/2021,North Point Mid,Summit Court,40.88,8/F Room B1,8,,B1,1850,東區,东区,EASTERN,HK
13/9/2021,Southern District,Residence Bel-Air,63,SOUTH TOWER 8 1#/F Room B,1,SOUTH TOWER 8,B,2180,南區,南区,SOUTHERN,HK
13/9/2021,Tai Hang,Butler Towers,40.48,4/F Room D,4,,D,1650,灣仔區,湾仔区,WAN CHAI,HK
13/9/2021,Heng Fa Chuen,Heng Fa Chuen,8.83,BLOCK 34 1#/F Room 2,1,BLOCK 34,2,593,東區,东区,EASTERN,HK
13/9/2021,Tai Hang,Dragon Garden,34.5,1#/F Room D,1,,D,1750,荃灣區,荃湾区,TSUEN WAN,NTW
10/9/2021,Heng Fa Chuen,Heng Fa Chuen,8.52,BLOCK 17 1#/F Room 8,1,BLOCK 17,8,631,東區,东区,EASTERN,HK
10/9/2021,Sai Wan Ho,Millennium Court,5.2,2#/F Room A,2,,A,439,中西區,中西区,CENTRAL & WESTERN,HK
10/9/2021,Western mid-levels,Cheery Garden,8.1,1#/F Room A,1,,A,568,中西區,中西区,CENTRAL & WESTERN,HK
10/9/2021,Western mid-levels,Tycoon Court,9,BLOCK A 4/F Room 2,4,BLOCK A,2,512,中西區,中西区,CENTRAL & WESTERN,HK
10/9/2021,Happy Valley,Ventris Place,34.38,BLOCK A 2#/F Room 1,2,BLOCK A,1,1385,灣仔區,湾仔区,WAN CHAI,HK
10/9/2021,Chai Wan,Shan Tsui Court,4.83,BLOCK C 3/F Room 4,3,BLOCK C,4,474,東區,东区,EASTERN,HK
10/9/2021,Chai Wan,Greenwood Terrace,7.45,TOWER 1 1#/F Room D,1,TOWER 1,D,747,東區,东区,EASTERN,HK
10/9/2021,Happy Valley,Fortuna Court,12.68,3#/F Room A,3,,A,705,灣仔區,湾仔区,WAN CHAI,HK
10/9/2021,Shaukeiwan,Tung Yuk Court,8.3,TUNG KING HOUSE--BLOCK A 5/F Room 5,5,TUNG KING HOUSE--BLOCK A,5,829,東區,东区,EASTERN,HK
10/9/2021,North Point,Ming Yuen Centre,5.5,2#/F Room B,2,,B,434,東區,东区,EASTERN,HK
10/9/2021,Chai Wan,Greenwood Terrace,7.38,TOWER 3 1#/F Room C,1,TOWER 3,C,747,東區,东区,EASTERN,HK
