VGG16_2d1,VGG16_2d2,VGG16_3d1,VGG16_3d2,VGG16_3d3
0.38204196,0.8622557,0.34557647,0.8593557,0.33372465
0.3572737,0.5129495,0.42984918,0.45993757,0.43069637
0.7996123,0.20924884,0.7941661,0.19672799,0.575726
0.21921948,0.53504044,0.22379303,0.52104634,0.5161632
0.33260053,0.82232356,0.2928922,0.8380476,0.46602792
0.07181001,0.36604437,0.07160747,0.3536802,0.37602857
0.3922713,0.6498192,0.3441133,0.6420057,0.27852917
0.5923455,0.79755944,0.5873241,0.7134573,0.06216243
0.67516136,0.7571082,0.7457472,0.71452,0.32876033
0.31728524,0.30327767,0.3517589,0.32851255,0.35922655
0.46687853,0.913499,0.41925403,0.7671201,0.2626822
0.3878203,0.54514074,0.3935361,0.6045585,0.56639904
0.5068093,0.3279965,0.49164203,0.3696326,0.55454004
0.5768132,0.6649151,0.67392987,0.71043813,0.7320335
0.5225434,0.88444084,0.49084297,0.80012083,0.30547425
0.51806444,0.5822189,0.46651265,0.4421072,0.2606359
0.77955186,0.47234935,0.80428684,0.6223106,0.6961225
0.58268917,0.65508187,0.7063863,0.66536474,0.741736
0.3845321,0.18915257,0.38335294,0.22769612,0.5841103
0.29660445,0.6531389,0.46027806,0.5639226,0.60008115
0.19931194,0.66586506,0.18000701,0.6573395,0.6658435
0.54538155,0.60178113,0.55774915,0.5485775,0.3300676
0.22002408,0.40989605,0.21067253,0.43542066,0.42336455
0.6906316,0.5467372,0.6897941,0.5633228,0.7169068
0.90930295,0.46425796,0.8624774,0.5884945,0.41575283
0.7987156,0.57193863,0.6572198,0.47405547,0.30984357
0.29953918,0.7418095,0.32908502,0.7530416,0.5038072
0.49495906,0.81242865,0.53386873,0.86663043,0.6056433
0.6113674,0.8988986,0.5478975,0.7811509,0.1619187
0.071273774,0.5052462,0.0027071536,0.4640692,0.49968216
0.29409027,0.48110467,0.34394366,0.50109524,0.22478327
0.22318134,0.39388147,0.25263047,0.374779,0.29229915
0.30753753,0.82252526,0.320484,0.7756157,0.43541053
0.07539019,0.46049976,0.04448241,0.44690952,0.501612
0.9535718,0.29322532,0.80783415,0.5023465,0.79635024
0.6750483,0.720591,0.7761315,0.74169976,0.2683831
0.4569742,0.6632481,0.4496958,0.626858,0.3690528
0.44342542,0.71298826,0.4580633,0.6894165,0.3550304
0.39093602,0.6837758,0.32897875,0.7013975,0.3024544
0.47495466,0.85415447,0.5050206,0.80410254,0.41654062
0.5133671,0.9761566,0.5543443,0.9426838,0.36211896
0.68398446,0.53097737,0.6643769,0.5182106,0.7377159
0.51892245,0.91802216,0.5041004,0.87346643,0.22038138
0.06984952,0.29098856,0.111041486,0.22960511,0.56359655
0.12311646,0.46669352,0.1343284,0.4760578,0.39094645
0.8437462,0.5345642,0.7944025,0.5397836,0.30011517
0.55470014,0.43507686,0.5048368,0.5542884,0.66768587
0.70056,0.4356847,0.645813,0.47277224,0.42035708
0.19829711,0.65645564,0.17593956,0.66627467,0.70913744
0.59564453,0.9538804,0.62401795,0.89515126,0.31994712
0.36041224,0.651807,0.44731387,0.6091644,0.52559507
