ResNet101_2d1,ResNet101_2d2,ResNet101_3d1,ResNet101_3d2,ResNet101_3d3
0.07704112,0.31564367,0.09261915,0.31587073,0.33562654
0.22207668,0.21573228,0.3685169,0.4796765,0.12712407
0.41894275,0.78852016,0.44807613,0.49537936,0.776652
0.24646491,0.49987578,0.378766,0.6512234,0.25691116
0.62547785,0.32475278,0.53393894,0.3338685,0.36739603
0.35475186,0.4713019,0.40074703,0.32446325,0.7461731
0.2203705,0.7773465,0.2886637,0.77886635,0.59457123
0.228565,0.7949116,0.23383361,0.8678322,0.62056005
0.23535207,0.6592624,0.31382394,0.6833807,0.5617666
0.20438185,0.924991,0.18739033,0.88975424,0.44890752
0.69983095,0.3565814,0.65904844,0.45982483,0.3159345
0.76586604,0.51250106,0.7253771,0.76306486,0.6309889
0.10444993,0.6266919,0.1354669,0.5064469,0.6380767
0.89838505,0.61206734,0.902665,0.61488485,0.46658143
0.39781094,0.7520329,0.47028115,0.78426445,0.6503272
0.8987273,0.5414393,0.97601616,0.51085305,0.36873615
0.46676412,0.45400232,0.46998832,0.44706327,0.40030497
0.83431387,0.66686034,0.80036354,0.65489167,0.60535806
0.6708963,0.53531957,0.6566096,0.44408137,0.64640844
0.27688846,0.64586765,0.31859732,0.5912365,0.64080703
0.39228758,0.40555048,0.3581388,0.32569632,0.5415735
0.09982777,0.6468725,0.07964635,0.5936395,0.7136976
0.82644206,0.3634585,0.82294023,0.3500231,0.3940138
0.24175045,0.29935116,0.36365753,0.5491013,0.2747159
0.5381442,0.2921053,0.521601,0.15688938,0.6107282
0.53590363,0.39248306,0.5286868,0.3161332,0.6089783
0.7351139,0.76623213,0.6314768,0.7029784,0.582211
0.7190687,0.45716685,0.65166306,0.5248379,0.315551
0.2583925,0.5830734,0.32828808,0.7282479,0.42917636
0.13827762,0.5886343,0.12987551,0.5324635,0.5377609
0.54997146,0.8279138,0.37742427,0.5647186,0.21696274
0.41745272,0.88035226,0.375325,0.881471,0.46945158
0.5948243,0.89965296,0.5377102,0.8552942,0.4013569
0.7933469,0.4902042,0.7454246,0.4272613,0.5031555
0.52177435,0.3961662,0.48595396,0.30881453,0.6210604
0.19565368,0.8148371,0.27432317,0.87476397,0.5448243
0.43443966,0.72884405,0.48079497,0.6527493,0.45844367
0.68103147,0.36397612,0.5835962,0.48266435,0.10093722
0.7836243,0.3103966,0.7507817,0.33968735,0.06821048
0.8271286,0.27181786,0.83132166,0.25884932,0.25315002
0.59347045,0.13314623,0.5272202,0.11210719,0.42558852
0.49555436,0.66936684,0.57751733,0.66007674,0.8109304
0.26662186,0.56027436,0.34206378,0.5111079,0.5218322
0.7897811,0.6242048,0.7483506,0.59024173,0.6092195
0.62682056,0.63508165,0.5106543,0.6075198,0.49625877
0.78469354,0.7136117,0.7422754,0.70269233,0.46915883
0.21870431,0.30991858,0.27685046,0.48226097,0.26001173
0.14245066,0.6650406,0.076158375,0.65534043,0.62413883
0.17707792,0.3412431,0.23444575,0.41968256,0.29628628
0.3042696,0.47838697,0.24966809,0.34548277,0.5721444
