GoogleNet_2d1,GoogleNet_2d2,GoogleNet_3d1,GoogleNet_3d2,GoogleNet_3d3
0.746532,0.20954639,0.25405037,0.86227506,0.53628117
0.19083124,0.51496536,0.84004617,0.60032314,0.4390247
0.35456538,0.42620513,0.54840773,0.48543656,0.44967586
0.25557464,0.6578947,0.68916696,0.3012429,0.4789571
0.26773658,0.3007794,0.7095024,0.7772937,0.3171528
0.2933723,0.84650844,0.7305887,0.14918903,0.49528733
0.3774293,0.49370664,0.6920432,0.35517564,0.30353612
0.5038066,0.3251929,0.4305933,0.5562035,0.28174376
0.5422866,0.48102328,0.565492,0.14662784,0.15995309
0.73694974,0.48998275,0.27809477,0.58837134,0.6714085
0.3843349,0.5407584,0.67632705,0.36165607,0.46112832
0.37857577,0.73921937,0.58629376,0.55564785,0.67693377
0.19450304,0.22577411,0.427629,0.377757,0.23662439
0.20910749,0.5573649,0.8309181,0.43131924,0.27550516
0.40509272,0.3817998,0.4683387,0.38810682,0.16137975
0.23650753,0.12326649,0.7682297,0.22809532,0.2750994
0.7026597,0.11069259,0.24757421,0.837531,0.40589774
0.51832926,0.59645015,0.38224602,0.23852107,0.49956512
0.045335174,0.45834544,0.7239598,0.8622658,0.50506985
0.37246016,0.2395013,0.55681884,0.48213878,0.0
0.6812819,0.731774,0.4363671,0.4859724,0.8673718
0.509927,0.07740173,0.34697223,0.50739735,0.123654425
0.42392474,0.80942285,0.5814415,0.19920796,0.47475442
0.86272764,0.4731942,0.35646486,0.5176368,0.8759141
0.28903413,0.5667857,0.66136265,0.64996123,0.60547394
0.7796657,0.75502837,0.34596127,0.08772057,0.43897602
0.54325217,0.7881735,0.48566353,0.2560933,0.5595704
0.5967731,0.8707949,0.5720229,0.22795442,0.84272873
0.6093924,0.5502998,0.38044146,0.48703027,0.59318614
0.33216178,0.379189,0.5370989,0.7070566,0.42031804
0.76613367,0.1234802,0.40107903,0.5645589,0.2381773
0.2420525,0.28444403,0.6401053,0.50025845,0.10328826
0.32746732,0.82246554,0.67682785,0.6592445,0.7812981
0.9580593,0.4057111,0.5995359,0.44409892,0.08880854
0.31522286,0.164897,0.42910334,0.5748917,0.081759244
0.1890564,0.20933232,0.18144387,0.72547835,0.1984587
0.36958635,0.51720715,0.60508096,0.2818467,0.26203012
0.6098656,0.1609472,0.8017324,0.56405556,0.2278355
0.3781442,0.24136856,0.44831392,0.49514222,0.2008774
0.9102342,0.29258174,0.47363088,0.93878746,0.65971684
0.77378225,0.78962016,0.32392147,0.27958018,0.7435571
0.38570446,0.44709033,0.6398909,0.47660622,0.5560197
0.7758321,0.61033326,0.5173742,0.32048196,0.7626715
0.7434596,0.70413625,0.51113474,0.48457214,0.8837379
0.47885048,0.57061344,0.7731083,0.66331,0.6780929
0.3096042,0.29357755,0.61153316,0.5616432,0.14548072
0.6530985,0.16497675,0.16650334,0.6317816,0.289661
0.47569656,0.51610535,0.5567233,0.4773925,0.51632446
0.6254485,0.788707,0.5423796,0.34820694,0.67185974
0.55420625,0.18706092,0.33924732,0.84492147,0.31773823
0.3100565,0.47351986,0.69578564,0.26473355,0.36533684
0.597562,0.50712293,0.44969746,0.69790715,0.9097599
0.6952007,0.28622305,0.26895338,0.5631893,0.5618925
0.590009,0.3775089,0.8987845,0.6457498,0.3115828
0.5608928,0.33277246,0.45244774,0.6704537,0.36759108
0.3900266,0.72086096,0.6201573,0.58957696,0.6870344
0.37278748,0.806222,0.66114414,0.6636761,0.90260446
0.3774411,0.41053393,0.78343165,0.4777224,0.337412
0.80744445,0.3188988,0.38806796,0.40344757,0.580955
0.30074108,0.26264954,0.65823,0.58704454,0.11012828
0.5224081,0.21363944,0.45684505,0.6933688,0.30905378
0.3881597,0.8848244,0.7660314,0.641109,0.74908614
0.38963965,0.15459698,0.25452507,0.57194465,0.25595397
0.51460415,0.51838446,0.6514352,0.21928978,0.43776208
0.65778977,0.4258253,0.2118212,0.5437377,0.5801772
0.60544765,0.17601517,0.23180076,0.62103647,0.32305625
0.72321767,0.5350954,0.6909601,0.7684158,0.7456932
0.23329818,0.67058945,0.95586395,0.50345755,0.57242244
0.27851558,0.45421502,0.73831713,0.46404195,0.5129504
0.03353387,0.3677101,0.8902883,0.75370884,0.38666075
0.6256478,0.53333175,0.36790055,0.506706,0.8081703
0.19954666,0.27664298,0.6135234,0.6286478,0.05911538
0.66003925,0.7845135,0.6668494,0.27047077,0.70954895
0.6946328,0.6236256,0.3836512,0.37282974,0.74168247
