img,sky,building,vegetation
788,0.501,0.062,0.059
789,0.289,0.069,0.214
790,0,0.654,0.001
791,0.284,0.367,0.014
792,0.461,0.001,0.202
793,0.096,0.497,0.049
794,0.38,0.18,0.075
795,0.1,0.496,0.079
796,0.465,0.175,0.01
797,0.477,0.046,0.163
798,0.315,0.364,0.044
799,0.503,0.054,0.072
800,0.499,0.079,0.067
801,0.353,0.211,0.097
802,0.456,0.147,0.039
803,0.005,0.009,0.754
804,0.366,0,0.346
805,0.186,0.497,0
806,0.25,0.261,0.129
807,0.07,0.001,0.582
808,0.155,0.001,0.556
809,0.304,0.076,0.269
810,0,0.541,0.013
811,0.099,0.233,0.362
812,0,0.294,0
813,0.327,0.367,0.005
814,0.247,0.22,0.175
815,0.281,0.421,0.023
816,0.001,0.607,0.029
817,0.424,0.003,0.236
818,0.519,0.044,0.1
819,0.0185,0.1275,0.308
820,0.394,0.036,0.293
821,0.351,0,0.44
822,0.248,0.067,0.335
823,0.461,0.054,0.029
824,0.38,0.295,0.027
825,0.505,0.078,0.065
826,0.544,0.034,0.037
827,0.092,0.276,0.329
828,0.082,0.002,0.523
829,0.279,0.034,0.352
830,0.592,0.002,0.027
831,0.475,0.012,0.155
832,0.158,0.028,0.481
833,0.374,0.102,0.159
834,0.405,0.225,0.047
835,0.301,0.301,0.001
836,0.136,0.564,0
837,0.373,0.2,0.05
838,0.424,0.285,0
839,0.49,0.059,0.064
840,0.477,0.053,0.185
841,0.249,0.002,0.441
842,0.1,0.472,0.101
843,0.393,0.217,0.039
844,0.0535,0.006,0.29075
845,0.54,0.024,0.082
846,0.498,0.024,0.129
847,0.584,0.037,0.009
848,0.267,0.373,0.008
849,0.452,0.097,0.066
850,0,0.23,0.001
851,0.003,0.799,0
852,0.483,0.03,0.111
853,0,0.631,0
854,0.258,0.32,0.047
855,0.522,0.009,0.124
856,0.198,0.479,0
857,0.327,0.001,0.384
858,0.219,0.286,0.149
859,0.173,0.479,0.002
860,0.428,0.005,0.188
861,0.072,0.00175,0.5485
862,0.276,0.175,0.215
863,0.391,0.202,0.011
864,0.443,0.146,0.017
865,0.277,0.347,0.011
866,0.327,0.269,0.029
867,0.386,0.002,0.261
868,0.241,0.205,0.245
869,0.069,0.474,0.054
870,0.513,0.074,0.036
871,0.02775,0.363,0.19875
872,0.315,0.027,0.3
873,0.146,0.011,0.498
874,0.501,0.059,0.074
875,0.211,0.205,0.138
876,0.31,0.208,0.099
877,0.37,0.022,0.249
878,0.378,0.229,0.024
879,0.388,0.27,0.004
880,0.457,0.078,0.085
881,0.458,0.195,0.022
882,0.299,0.124,0.257
883,0.314,0.423,0.004
884,0.467,0.004,0.147
885,0.328,0.359,0.008
886,0.008,0.007,0.832
887,0.154,0.511,0
888,0.46,0.02,0.185
889,0.161,0.167,0.215
890,0.296,0.079,0.287
891,0.561,0.065,0.012
892,0,0.016,0.64
893,0.362,0.113,0.154
894,0.27,0.399,0.03
895,0.081,0,0.658
896,0.287,0.009,0.417
897,0.343,0.253,0.034
898,0.152,0.087,0.38
899,0.501,0.1,0.051
900,0.487,0.136,0.041
901,0.211,0.104,0.319
902,0.217,0.11475,0.1775
903,0.353,0.17,0.103
904,0.19,0.036,0.404
905,0.473,0.014,0.142
906,0.344,0.217,0.08
907,0.303,0.064,0.329
908,0.574,0.026,0.033
909,0.413,0.172,0.015
910,0.392,0.185,0.082
911,0.354,0.001,0.292
912,0.344,0.058,0.216
913,0.452,0.193,0.056
914,0.341,0.164,0.13
915,0.158,0.362,0.144
916,0.19,0.498,0
917,0.311,0.329,0.014
918,0.334,0.152,0.146
919,0.344,0.004,0.335
920,0.52,0.059,0.017
921,0.472,0.048,0.069
922,0.172,0,0.406
923,0.167,0.248,0.152
924,0.095,0.598,0
925,0.461,0.145,0.005
926,0.2,0.443,0
927,0.489,0.085,0.066
928,0.396,0.09,0.162
929,0.22,0.215,0.119
930,0.435,0.106,0.138
931,0.331,0.315,0.02
932,0.559,0.076,0.004
933,0.253,0.36,0.036
934,0.184,0.531,0.002
935,0.308,0.086,0.254
936,0.535,0.016,0.023
937,0.422,0.172,0.009
938,0.426,0.144,0.064
939,0.531,0.008,0.092
940,0.431,0.129,0.139
941,0.454,0.077,0.124
942,0.534,0.081,0.028
943,0.21,0.428,0.013
944,0.346,0.129,0.155
945,0.24,0.208,0.174
946,0.297,0.185,0.13
947,0.199,0.459,0.011
948,0.345,0.32,0.036
949,0.044,0,0.651
950,0.439,0.001,0.238
951,0.259,0.009,0.437
952,0.168,0.435,0.003
953,0.264,0.368,0.031
954,0.317,0.253,0.076
955,0.252,0.001,0.408
956,0.412,0.215,0.018
957,0.345,0.204,0.096
958,0.512,0.024,0.09
959,0.497,0.035,0.079
960,0.187,0.389,0.09
961,0.43,0,0.155
962,0.421,0.006,0.235
963,0.445,0.065,0.111
964,0.4,0.152,0.083
965,0.288,0.173,0.147
966,0.319,0.12,0.233
967,0.436,0.047,0.184
968,0.099,0.505,0.029
969,0.403,0.2,0.06
970,0.033,0.214,0.409
971,0.397,0.037,0.192
972,0.153,0.489,0.032
973,0.207,0.332,0.15
974,0.499,0.091,0.011
975,0.028,0.051,0.652
976,0.51,0.057,0.112
977,0.394,0.172,0.059
978,0.299,0,0.424
979,0,0.542,0.005
980,0.391,0.15,0.112
981,0.147,0.469,0.044
982,0.00125,0.6105,0
983,0.02175,0.00025,0.4265
984,0.162,0.487,0.061
985,0.144,0.523,0.009
986,0.316,0.305,0.113
987,0.42,0.168,0.013
988,0.156,0.117,0.395
989,0.428,0.095,0.122
990,0.111,0.221,0.378
991,0.449,0.024,0.101
992,0.095,0.573,0
993,0.143,0.427,0
994,0.311,0.29,0.025
995,0.154,0.01,0.464
996,0.101,0.07,0.478
997,0.177,0.247,0.225
998,0.388,0.075,0.158
999,0,0.655,0
1000,0.474,0.021,0.263
1001,0.411,0.184,0.025
1002,0.309,0.269,0.057
1003,0.478,0.075,0.044
1004,0.337,0.039,0.246
